tid,rid,words,meaning,clarity,consistency,correlation,npmi,npmi_diff,npmi_normalized,#words,#articles,FreqRefinements,FreqAddWords,FreqRemoveWords,FreqRemoveArticles,FreqMergeWords,FreqSplitTheme,FreqChangeWordOrder,Duration,userID
0,original,school university students college schools high education children student parents class public professor state program middle teachers campus kids harvard library director year teacher black percent programs group science graduate academic city classes princeton california grade colleges years department,,4.2222222222222223,3.7777777777777777,4.333333333333333,0.18,0,0.18,20,40,0
0,0,"education schools public professor teachers high middle class program campus harvard Children [children, kids, student]",The education system ,4,4,4,0.04,-0.13999999999999999,0.05714285714285715,15,34,21,0,4,8,1,2,6,313,9S0WB9E7
0,1,school students high university children college education student parents class public state middle teachers campus,I think they are primarily about pre-teens and teens and their education.,4,4,3,0.15,-0.03,0.19999999999999998,15,32,19,1,6,8,0,0,4,401,SHHV2EIX
0,2,"school children students schools high education parents University[university, college, campus] class public professor state program middle teachers","These group of articles pertain to education and the school system, focusing on elementary aged students.",4,4,4,0.13,-0.04999999999999999,0.15294117647058825,18,40,7,0,3,0,1,0,3,249,DZP6GUAO
0,3,education students school university college schools high children student parents class professor state program teachers campus kids prep,"The theme is education with teachers, students, and schools being subjects",5,4,4,0.1,-0.07999999999999999,0.11111111111111112,18,33,15,1,3,7,0,0,4,135,92K0RMCX
0,4,school education schools students university college high parents class public professor state program middle teachers campus harvard,They are about various types of education,5,5,5,0.1,-0.07999999999999999,0.11764705882352942,17,40,4,0,0,0,1,0,3,152,K2Y0DD7M
0,5,"school[school, schools] students[students, student] university college education high parents class public professor state middle teachers campus harvard","They are related to education, from grade school through higher education.",5,5,5,0.1,-0.07999999999999999,0.11764705882352942,19,40,14,0,1,0,3,2,8,1129,WZD61DJI
0,6,school students schools high education children student parents class public state program middle teachers kids,Education reviews and corrections and letters to the editor,4,4,4,0.11,-0.06999999999999999,0.14666666666666667,15,24,25,1,6,18,0,0,0,297,TKD9XO2E
0,7,school university students college schools public education children parents class teachers,"They are about a variety of educational concerns, ranging from K-12 to college.",4,4,4,0.18,0.0,0.32727272727272727,11,37,18,1,10,3,1,0,3,825,J6BMHIN8
0,8,school university education students teachers college children student parents class public professor state program middle campus kids harvard ranking,stories on education and schools.,4,4,4,0.09,-0.09,0.09473684210526315,19,39,9,2,2,3,0,0,2,124,0OW54C8Y
1,original,www winter water snow hotel travel island trees miles ski beach airport air ice mountain weather travelers resort airlines park fish sea night hotels local international trip tree land service flight coast species airline south area feet forest day,,3.1111111111111112,3.1111111111111112,3.4444444444444446,0.06,0,0.06,20,40,0
1,0,travel caribbean island vacation hotel beach water ocean airport air weather travelers resort airlines sea fare club,They are about travel in the Americas and the Caribbean.,5,4,4,0.05,-0.009999999999999995,0.05882352941176471,17,12,57,7,9,34,0,0,7,416,ZEHBMJBZ
1,1,"weather[winter, trees, snow, ice, weather] science and nature[science and nature, mountain, miles, park] vacation[air, vacation[ski, travel, beach[airlines, travel[travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],airlines, travel[travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],ski, travel, beach[airlines, travel[travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],airlines, travel[travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel],travel, airport[travelers, travel, resort, hotel],travelers, travel, resort, hotel] offers[www]",Skimming through I see the articles are about the southern part of the US and Carribean areas.,4,3,4,0.08,0.020000000000000004,0.06956521739130435,114,40,11,1,2,0,8,0,0,552,GJZQ0KPW
1,2,"travel resort hotel water island ski beach winter[ice, winter, snow] mountain airport travelers airlines",travel and vacation destinations,5,5,5,0.09,0.03,0.12857142857142856,15,25,29,0,6,17,1,0,5,406,9BOHW5XN
1,3,"travel airport hotel island trees miles ski beach travelers resort airlines motel hostel agent Weather[winter, water, snow, air, ice, weather]",These articles focus around travel.,4,4,4,0.08,0.020000000000000004,0.08,21,36,13,3,3,4,1,0,2,156,HT087ID6
1,4,"www water island trees miles ski beach airport air ice mountain weather travelers resort airlines park winter[winter, snow] vacation[hotel, travel]","most of the articles are concerned with weather and different seasons, even theme words like hotel and trees",2,3,3,0.06,0.0,0.057142857142857134,22,40,2,0,0,0,2,0,0,75,WQL0XZ7V
1,5,"travel airlines winter hotel water island ski airport air weather resort park scenery[trees, mountain, ice, snow, beach]",Travel,5,5,5,0.08,0.020000000000000004,0.08888888888888889,18,40,8,0,3,0,1,0,4,73,Z233E1L1
1,6,"travel hotel island trees miles ski beach airport air mountain travelers resort airlines park weather[winter, snow, ice, water, weather]",The theme seems based on travel destinations.,4,4,4,0.07,0.010000000000000009,0.0736842105263158,20,36,7,0,1,4,1,0,1,212,NQ19NJ04
1,7,"water snow travel island beach airport air weather travelers park winter escape Places[resort, hotel] destination",Winter travel destinations,4,5,4,0.06,0.0,0.075,16,31,20,2,8,9,1,0,0,289,O6XL8NRI
1,8,"winter water snow trees miles ski beach airport air ice mountain weather travelers resort airlines park Travel[travel, hotel, island] summer","They are about travel, winter travel, and spring approaching",4,5,5,0.1,0.04000000000000001,0.1,21,36,11,2,1,6,2,0,0,655,A2X70YM3
2,original,percent year market billion company million companies stock business investors sales price prices funds growth quarter fund bank financial investment markets analysts states share revenue money economy rates shares chief average united street hedge interest wall earnings rose stocks,,4.2222222222222223,4.2222222222222223,4.2222222222222223,0.15,0,0.15,20,40,0
2,0,finance economy stock market stock prices investors investment business earnings mutual funds banks,This theme is about the financial markets.,5,4,5,0.17,0.020000000000000018,0.2833333333333334,13,38,36,9,18,2,0,0,7,251,HJ8RF4SW
2,1,"finances[stock, sales, investment, fund, growth, price, percent] time[year, quarter] economy[market, company, investors]",They're about business finances.,5,5,5,0.11,-0.039999999999999994,0.14666666666666667,15,40,12,0,9,0,3,0,0,292,ZR8CW6PP
2,2,"stock business economic market percent year numbers[billion, million] company companies investors sales price prices funds growth quarter bank financial investment",Economic and investment news.,5,4,5,0.17,0.020000000000000018,0.1619047619047619,21,40,8,1,1,0,1,0,5,147,GRMIOJ3I
2,3,percent year market billion company million companies stock business investors sales price prices funds growth quarter financial investment,stock market and finance news,4,4,4,0.17,0.020000000000000018,0.1888888888888889,18,40,2,0,2,0,0,0,0,214,L17ON3TB
2,4,"percent market year billion million stock business investors funds growth quarter fund bank financial investment Money [sales, price, prices]",how the market works in terms of stock and relevant things. ,4,4,4,0.16,0.010000000000000009,0.16842105263157894,19,37,7,0,0,3,1,2,1,118,0SLFE3IH
2,5,investment business market financial funds company companies stock investors sales price prices growth quarter fund bank,These articles are about finance and investing.,4,4,5,0.15,0.0,0.1875,16,40,11,1,4,0,1,0,5,220,05LH193D
2,6,stock investment market price funds investors growth percent company year billion million companies business sales prices quarter fund bank financial strategy gain value share,The articles are about the stock market. The discuss stocks that are doing well and overall economic trends.,5,5,5,0.13,-0.01999999999999999,0.10833333333333334,24,40,13,4,0,0,0,0,9,338,FMVFRPWV
2,7,percent market billion company million companies stock business investors sales price prices funds growth quarter fund bank financial investment international domestic,These articles discuss the stock market.,5,5,5,0.16,0.010000000000000009,0.15238095238095237,21,38,5,2,1,2,0,0,0,171,E6NQ46WD
2,8,"financial company investors investment percent year market billion million companies stock business sales funds growth quarter fund bank Price[price, prices] profit interest rate",Performance of the stock market and financial news.,5,5,5,0.15,0.0,0.13043478260869565,24,40,8,3,0,0,1,0,4,419,MBTT8UM5
3,original,york article brooklyn times street corrections children fund neediest family cases misstated east year service bronx correction city society apartment jan avenue queens charities sunday center mother community homeless mexico hospital federation catholic referred contributions park services incorrectly work,,3.7777777777777777,4.0,3.8888888888888888,-0.0,0,-0.0,20,40,0
3,0,neediest street family society service city article brooklyn times children cases bronx apartment homelessness,Homelessness in America,4,4,4,0.02,0.02,0.028571428571428574,14,38,20,1,7,5,0,0,7,243,OUF0TYWB
3,1,york children family mother times bronx apartment fund social child brooklyn city society parents cases neediest,Collected articles on New York City area social issues.,5,5,5,0.01,0.01,0.0125,16,38,28,5,7,2,1,4,9,379,6FZ6SUI3
3,2,neediest york brooklyn times street children fund family cases year service bronx society,The theme words seem to be about needed children in poorer areas of the city.,4,4,4,0.0,0.0,0.0,13,40,8,0,3,0,0,4,1,109,L7TSKSFA
3,3,"fund family children homeless struggle brooklyn times street year service bronx city society apartment genre[neediest, cases]",the neediest cases,5,5,5,-0.0,0.0,-0.0,17,29,33,4,3,13,1,3,9,454,KV3J4I3O
3,4,"cases[neediest, cases] children fund family service society corrections[misstated, corrections, correction] area[brooklyn, bronx]",Local poverty programs.,5,5,5,-0.01,-0.01,-0.015384615384615385,15,40,12,0,8,0,3,0,1,225,4VWEPI53
3,5,"brooklyn york bronx society article fund money times corrections children neediest family cases building[city, street] east year correction service apartment","The articles are about the homeless, poor, and unfortunate located in Brooklyn, New York.",5,5,5,0.01,0.01,0.009523809523809523,21,39,11,1,1,1,1,0,7,247,P4SSXSY8
